skill_id	triggers	score	src_path
billing-automation	billing;automation	100	src/antigravity-awesome-skills/skills/billing-automation/SKILL.md
carrier-relationship-management	carrier;relationship;management	100	src/antigravity-awesome-skills/skills/carrier-relationship-management/SKILL.md
hubspot-integration	hubspot;integration	100	src/antigravity-awesome-skills/skills/hubspot-integration/SKILL.md
logistics-exception-management	logistics;exception;management	100	src/antigravity-awesome-skills/skills/logistics-exception-management/SKILL.md
micro-saas-launcher	micro;saas;launcher	100	src/antigravity-awesome-skills/skills/micro-saas-launcher/SKILL.md
odoo-accounting-setup	odoo;accounting;setup	100	src/antigravity-awesome-skills/skills/odoo-accounting-setup/SKILL.md
odoo-hr-payroll-setup	odoo;hr;payroll;setup	100	src/antigravity-awesome-skills/skills/odoo-hr-payroll-setup/SKILL.md
odoo-sales-crm-expert	odoo;sales;crm;expert	100	src/antigravity-awesome-skills/skills/odoo-sales-crm-expert/SKILL.md
pakistan-payments-stack	pakistan;payments;stack	100	src/antigravity-awesome-skills/skills/pakistan-payments-stack/SKILL.md
payment-integration	payment;integration	100	src/antigravity-awesome-skills/skills/payment-integration/SKILL.md
production-scheduling	production;scheduling	100	src/antigravity-awesome-skills/skills/production-scheduling/SKILL.md
returns-reverse-logistics	returns;reverse;logistics	100	src/antigravity-awesome-skills/skills/returns-reverse-logistics/SKILL.md
revops	revops	100	src/antigravity-awesome-skills/skills/revops/SKILL.md
risk-metrics-calculation	risk;metrics;calculation	100	src/antigravity-awesome-skills/skills/risk-metrics-calculation/SKILL.md
saas-mvp-launcher	saas;mvp;launcher	100	src/antigravity-awesome-skills/skills/saas-mvp-launcher/SKILL.md
stripe-integration	stripe;integration	100	src/antigravity-awesome-skills/skills/stripe-integration/SKILL.md
saas-revenue-growth-metrics	saas;revenue;growth;metrics	24	src/Product-Manager-Skills/skills/saas-revenue-growth-metrics/SKILL.md
market-sizing-analysis	market;sizing;analysis	21	src/antigravity-awesome-skills/skills/market-sizing-analysis/SKILL.md
monetization	monetization	19	src/antigravity-awesome-skills/skills/monetization/SKILL.md
saas-economics-efficiency-metrics	saas;economics;efficiency;metrics	16	src/Product-Manager-Skills/skills/saas-economics-efficiency-metrics/SKILL.md
finance-metrics-quickref	finance;metrics;quickref	15	src/Product-Manager-Skills/skills/finance-metrics-quickref/SKILL.md
startup-business-analyst-market-opportunity	startup;business;analyst;market;opportunity	15	src/antigravity-awesome-skills/skills/startup-business-analyst-market-opportunity/SKILL.md
product-manager	product;manager	11	src/antigravity-awesome-skills/skills/product-manager/SKILL.md
startup-business-analyst-financial-projections	startup;business;analyst;financial;projections	11	src/antigravity-awesome-skills/skills/startup-business-analyst-financial-projections/SKILL.md
finance-based-pricing-advisor	finance;based;pricing;advisor	9	src/Product-Manager-Skills/skills/finance-based-pricing-advisor/SKILL.md
startup-financial-modeling	startup;financial;modeling	9	src/antigravity-awesome-skills/skills/startup-financial-modeling/SKILL.md
subscription-lifecycle	subscription;lifecycle	9	src/aso-skills/skills/subscription-lifecycle/SKILL.md
business-health-diagnostic	business;health;diagnostic	7	src/Product-Manager-Skills/skills/business-health-diagnostic/SKILL.md
startup-analyst	startup;analyst	5	src/antigravity-awesome-skills/skills/startup-analyst/SKILL.md
startup-metrics-framework	startup;metrics;framework	5	src/antigravity-awesome-skills/skills/startup-metrics-framework/SKILL.md
storyboard	storyboard	5	src/Product-Manager-Skills/skills/storyboard/SKILL.md